country,date,sentiment,Imports,Exports,immigrants,percPop,emigrants,kilometers,miles,ideology,rsf
Angola,2022-02-22,,1390.0,21140000.0,656434.0,2.0,668066.0,6753.0,4196.0,1.0,
Australia,2022-02-22,0.31666666666666665,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Belgium,2022-02-22,-0.11875,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Botswana,2022-02-22,0.0,135610.0,396780.0,1079708.0,0.51,1897128.0,7889.0,4902.0,3.0,58.0
Canada,2022-02-22,0.0,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Colombia,2022-02-22,0.0,80770000.0,207300000.0,1905393.0,3.74,3024273.0,10754.0,6682.0,2.0,42.0
Croatia,2022-02-22,,65410000.0,46590000.0,528056.0,12.86,1039526.0,1267.0,787.0,2.0,70.0
Cuba,2022-02-22,,1590000.0,3490000.0,3024.0,0.03,1757300.0,9538.0,5927.0,0.0,27.0
Czechia,2022-02-22,,,,,,,,,,
Denmark,2022-02-22,,295480000.0,279840000.0,717574.0,12.39,257025.0,1703.0,1058.0,3.0,90.0
Estonia,2022-02-22,,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Finland,2022-02-22,0.0,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-02-22,0.0,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Germany,2022-02-22,,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Iceland,2022-02-22,,127190000.0,1220000.0,65424.0,19.17,43251.0,3445.0,2141.0,3.0,82.0
India,2022-02-22,0.022222222222222223,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-02-22,,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Italy,2022-02-22,-0.375,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Japan,2022-02-22,0.0,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kenya,2022-02-22,-0.15,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
Laos,2022-02-22,,928660.0,254140.0,48731.0,0.67,1296051.0,7006.0,4353.0,0.0,
Latvia,2022-02-22,,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Mali,2022-02-22,,6600000.0,28210000.0,485829.0,2.4,1303511.0,4668.0,2901.0,0.0,54.0
Mexico,2022-02-22,0.0,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Netherlands,2022-02-22,0.0,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-02-22,-0.2916666666666667,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-02-22,,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-02-22,-0.02666666666666666,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
Peru,2022-02-22,0.0,30040000.0,126540000.0,1224519.0,3.71,1519635.0,11963.0,7433.0,2.0,
Philippines,2022-02-22,0.0,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-02-22,,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-02-22,,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Romania,2022-02-22,0.0,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Russia,2022-02-22,-0.2375,5850000000.0,3350000000.0,11636911.0,7.97,10756697.0,4666.0,2899.0,1.0,45.0
Russian Federation,2022-02-22,,,,,,,,,,
Saudi Arabia,2022-02-22,,176730000.0,779550000.0,13454842.0,38.65,299268.0,2986.0,1855.0,0.0,33.0
